case_type,file,kind,line,line_text,evidence,validation_reason,is_valid_syntax
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_01.c,good,43,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_02.c,good,107,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_02.c,good,126,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_03.c,good,107,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_03.c,good,126,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_04.c,good,113,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_04.c,good,132,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_05.c,good,113,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_05.c,good,132,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_06.c,good,112,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_06.c,good,131,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_07.c,good,112,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_07.c,good,131,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_08.c,good,120,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_08.c,good,139,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_09.c,good,107,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_09.c,good,126,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_10.c,good,107,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_10.c,good,126,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_11.c,good,107,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_11.c,good,126,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_12.c,good,36,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_12.c,good,115,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_12.c,good,122,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_13.c,good,107,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_13.c,good,126,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_14.c,good,107,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_14.c,good,126,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_15.c,good,138,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_15.c,good,165,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_16.c,good,78,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_17.c,good,77,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_18.c,good,70,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_21.c,good,126,{,/* FIX: Initialize data */,brace_only,false
invalid_syntax,CWE476_NULL_Pointer_Dereference__int64_t_22a.c,good,79,{,/* FIX: Initialize data */,brace_only,false
